?
Axis	Energy	Elements=	951

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\C1s Scan.VGD





Binding Energy (E)				C1s Scan A	C1s Scan B	C1s Scan C	C1s Scan D	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
295.940		1788.43		1819.66	1819.66	1819.66	1824.35	1819.66	1824.35	-35.9238	
295.920		1893.33		1818.39	1818.39	1818.39	1823.16	1818.39	1823.16	70.1723	
295.900		1855.03		1817.12	1817.12	1817.12	1821.95	1817.12	1821.95	33.0796	
295.880		1838.16		1815.85	1815.85	1815.85	1820.75	1815.85	1820.75	17.4106	
295.860		1845.31		1814.74	1814.74	1814.74	1819.70	1814.74	1819.70	25.6051	
295.840		1819.58		1813.64	1813.64	1813.64	1818.68	1813.64	1818.68	0.908932	
295.820		1855.03		1812.42	1812.42	1812.42	1817.53	1812.42	1817.53	37.5019	
295.800		1842.45		1811.10	1811.10	1811.10	1816.27	1811.10	1816.27	26.1846	
295.780		1818.44		1809.77	1809.77	1809.77	1815.01	1809.77	1815.01	3.43322	
295.760		1850.45		1808.43	1808.43	1808.43	1813.73	1808.43	1813.73	36.7196	
295.740		1890.47		1806.92	1806.92	1806.92	1812.29	1806.92	1812.29	78.1798	
295.720		1875.89		1805.25	1805.25	1805.25	1810.69	1805.25	1810.69	65.1991	
295.700		1836.16		1803.55	1803.55	1803.55	1809.06	1803.55	1809.06	27.1025	
295.680		1843.59		1801.79	1801.79	1801.79	1807.37	1801.79	1807.37	36.2240	
295.660		1856.74		1799.95	1799.95	1799.95	1805.60	1799.95	1805.60	51.1410	
295.640		1823.30		1798.19	1798.19	1798.19	1803.91	1798.19	1803.91	19.3922	
295.620		1803.29		1796.46	1796.46	1796.46	1802.25	1796.46	1802.25	1.04393	
295.600		1861.32		1794.70	1794.70	1794.70	1800.55	1794.70	1800.55	60.7610	
295.580		1941.35		1792.83	1792.83	1792.83	1798.75	1792.83	1798.75	142.594	
295.560		1859.89		1790.90	1790.90	1790.90	1796.90	1790.90	1796.90	62.9848	
295.540		1766.14		1788.88	1788.88	1788.88	1794.95	1788.88	1794.95	-28.8180	
295.520		1911.34		1786.74	1786.74	1786.74	1792.89	1786.74	1792.89	118.451	
295.500		1972.22		1784.43	1784.43	1784.43	1790.65	1784.43	1790.65	181.571	
295.480		1921.34		1782.05	1782.05	1782.05	1788.33	1782.05	1788.33	133.010	
295.460		1871.03		1779.66	1779.66	1779.66	1786.02	1779.66	1786.02	85.0168	
295.440		1820.73		1777.27	1777.27	1777.27	1783.70	1777.27	1783.70	37.0275	
295.420		1772.14		1774.85	1774.85	1774.85	1781.35	1774.85	1781.35	-9.21541	
295.400		1777.00		1772.43	1772.43	1772.43	1779.00	1772.43	1779.00	-2.00753	
295.380		1827.30		1770.02	1770.02	1770.02	1776.67	1770.02	1776.67	50.6317	
295.360		1905.62		1767.55	1767.55	1767.55	1774.28	1767.55	1774.28	131.337	
295.340		1822.73		1765.01	1765.01	1765.01	1771.81	1765.01	1771.81	50.9185	
295.320		1902.48		1762.40	1762.40	1762.40	1769.28	1762.40	1769.28	133.197	
295.300		1909.62		1759.94	1759.94	1759.94	1766.90	1759.94	1766.90	142.722	
295.280		1934.49		1757.46	1757.46	1757.46	1764.50	1757.46	1764.50	169.993	
295.260		1872.18		1754.79	1754.79	1754.79	1761.91	1754.79	1761.91	110.270	
295.240		1830.45		1752.11	1752.11	1752.11	1759.31	1752.11	1759.31	71.1410	
295.220		1823.30		1749.56	1749.56	1749.56	1756.83	1749.56	1756.83	66.4675	
295.200		1811.01		1747.08	1747.08	1747.08	1754.44	1747.08	1754.44	56.5715	
295.180		1787.86		1744.58	1744.58	1744.58	1752.02	1744.58	1752.02	35.8402	
295.160		1785.29		1741.93	1741.93	1741.93	1749.46	1741.93	1749.46	35.8300	
295.140		1821.01		1739.20	1739.20	1739.20	1746.81	1739.20	1746.81	74.2069	
295.120		1829.30		1736.45	1736.45	1736.45	1744.14	1736.45	1744.14	85.1606	
295.100		1862.17		1733.70	1733.70	1733.70	1741.48	1733.70	1741.48	120.690	
295.080		1732.41		1731.11	1731.11	1731.11	1738.98	1731.11	1738.98	-6.57379	
295.060		1826.73		1728.52	1728.52	1728.52	1736.48	1728.52	1736.48	90.2486	
295.040		1892.19		1726.00	1726.00	1726.00	1734.05	1726.00	1734.05	158.131	
295.020		1864.46		1723.62	1723.62	1723.62	1731.77	1723.62	1731.77	132.695	
295.000		1785.29		1721.34	1721.34	1721.34	1729.58	1721.34	1729.58	55.7064	
294.980		1788.14		1719.12	1719.12	1719.12	1727.46	1719.12	1727.46	60.6863	
294.960		1841.59		1716.94	1716.94	1716.94	1725.37	1716.94	1725.37	116.222	
294.940		1904.19		1714.73	1714.73	1714.73	1723.26	1714.73	1723.26	180.933	
294.920		1798.72		1712.48	1712.48	1712.48	1721.11	1712.48	1721.11	77.6080	
294.900		1733.55		1710.13	1710.13	1710.13	1718.86	1710.13	1718.86	14.6899	
294.880		1761.85		1707.73	1707.73	1707.73	1716.56	1707.73	1716.56	45.2889	
294.860		1692.96		1705.38	1705.38	1705.38	1714.32	1705.38	1714.32	-21.3576	
294.840		1762.99		1703.17	1703.17	1703.17	1712.22	1703.17	1712.22	50.7748	
294.820		1776.71		1701.12	1701.12	1701.12	1710.27	1701.12	1710.27	66.4384	
294.800		1719.54		1699.09	1699.09	1699.09	1708.35	1699.09	1708.35	11.1990	
294.780		1781.57		1697.10	1697.10	1697.10	1706.47	1697.10	1706.47	75.0961	
294.760		1760.13		1695.24	1695.24	1695.24	1704.73	1695.24	1704.73	55.4024	
294.740		1747.56		1693.54	1693.54	1693.54	1703.14	1693.54	1703.14	44.4122	
294.720		1805.01		1691.77	1691.77	1691.77	1701.49	1691.77	1701.49	103.516	
