?
Axis	Energy	Elements=	1001

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\O1s Scan.VGD





Binding Energy (E)				O1s Scan A	O1s Scan B	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
538.180		3945.58		3689.61	3703.43	3689.61	3703.43	242.143	
538.160		3814.95		3686.25	3701.03	3686.25	3701.03	113.925	
538.140		3922.14		3682.84	3698.62	3682.84	3698.62	223.524	
538.120		4036.76		3679.44	3696.27	3679.44	3696.27	340.486	
538.100		4056.77		3676.00	3693.95	3676.00	3693.95	362.819	
538.080		4122.22		3672.52	3691.62	3672.52	3691.62	430.598	
538.060		4062.20		3669.08	3689.40	3669.08	3689.40	372.799	
538.040		4050.76		3665.68	3687.27	3665.68	3687.27	363.494	
538.020		3976.16		3662.31	3685.23	3662.31	3685.23	290.933	
538.000		4050.76		3658.96	3683.26	3658.96	3683.26	367.502	
537.980		3991.31		3655.65	3681.39	3655.65	3681.39	309.922	
537.960		3834.39		3652.43	3679.67	3652.43	3679.67	154.722	
537.940		3978.73		3649.25	3678.05	3649.25	3678.05	300.685	
537.920		4080.49		3646.03	3676.45	3646.03	3676.45	404.040	
537.900		4059.05		3642.77	3674.87	3642.77	3674.87	384.186	
537.880		4017.32		3639.45	3673.29	3639.45	3673.29	344.033	
537.860		3954.44		3636.13	3671.77	3636.13	3671.77	282.669	
537.840		3853.83		3632.84	3670.34	3632.84	3670.34	183.492	
537.820		3940.43		3629.54	3668.95	3629.54	3668.95	271.479	
537.800		3858.11		3626.30	3667.70	3626.30	3667.70	190.415	
537.780		3853.83		3623.11	3666.55	3623.11	3666.55	187.278	
537.760		3819.81		3620.03	3665.56	3620.03	3665.56	154.252	
537.740		3785.51		3617.00	3664.69	3617.00	3664.69	120.823	
537.720		3854.11		3614.07	3663.98	3614.07	3663.98	190.135	
537.700		4020.18		3611.21	3663.39	3611.21	3663.39	356.792	
537.680		3984.74		3608.31	3662.81	3608.31	3662.81	321.922	
537.660		3882.12		3605.47	3662.36	3605.47	3662.36	219.766	
537.640		3852.68		3602.73	3662.05	3602.73	3662.05	190.634	
537.620		3906.71		3600.13	3661.94	3600.13	3661.94	244.764	
537.600		3999.60		3597.67	3662.02	3597.67	3662.02	337.584	
537.580		3885.27		3595.25	3662.18	3595.25	3662.18	223.090	
537.560		3876.98		3592.80	3662.36	3592.80	3662.36	214.614	
537.540		3721.20		3590.41	3662.66	3590.41	3662.66	58.5473	
537.520		3759.50		3588.10	3663.07	3588.10	3663.07	96.4321	
537.500		3734.35		3585.82	3663.55	3585.82	3663.55	70.7985	
537.480		3760.65		3583.55	3664.08	3583.55	3664.08	96.5632	
